from,to
avsb,a very special boy
avtr,avatar
avvie,avatar
avy,avatar
awb,acquaintance with benefits
awc,after while
awes,awesome
awgthtgtta,are we going to have to go through this again
awhfy,are we having fun yet
awk,awkward
awltp,avoiding work like the plague
awniac,all we need is another chair
awol,absent without leave
awsic,and why should i care
awsm,awesome
awsome,awesome
awttw,a word to the wise
awty,are we there yet
ax,across
ayagob,are you a girl or boy
ayb,all your base
aybab2m,all your base are belong 2 me
aybab2u,all your base are belong to us
aybabtg,all your base are belong to google
aybabtu,all your base are belong to us
ayc,awaiting your comments
ayce,all you can eat
ayd,are you done
aydy,are you done yet
ayec,at your earliest convenience
ayfk,are you fuck kidding
ayfkm,are you fuck kidding me
ayfkmwts,are you fucking kidding me with this shit
ayfr,are you for real
ayfs,are you fuck serious
ayk,are you kidding
aykm,are you kidding me
ayl,are you listening
aymf,are you my friend
aymm,are you my mother
ayok,are you okay
ayor,at your own risk
aypi,and your point is
ays,are you serious
aysm,are you shitting me?
aysos,are you stupid or something
ayst,are you still there
ayt,are you there
ayte,alright
aytf,are you there fuck
aytmtb,and youre telling me this because
ayty,are you there yet
ayv,are you vertical
ayw,as you wish
azhol,asshole
azn,asian
azz,ass
b,be
b&,banned
b&e,breaking entering
b&f,back and forth
b'day,birthday
b**l,ball
b-),cool
b-cuz,because
b-day,birthday
b.f.f.,best friend forever
b.s.,bullshit
b/c,because
b/cos,because
b/g,background
b/s/l,bisexual/straight/lesbian
b/t,between
b/w,between
b00n,new person
b00t,boot
b0rked,broken
b1tch,bitch
b2a,businesstoanyone
b2b,business to business
b2b2c,businesstobusinesstoconsumer
b2c,businesstoconsumer
b2d,businesstodistributor
b2e,businesstoemployee
b2g,businesstogovernment
b2k,back to keyboard
b2u,back to you
b2w,back to work
b3,be
b4,before
b4n,bye for now
b4u,before you
b4ug,before you go
b4ul,before you leave
b4yki,before you know it
b8,bait
b82rez,batteries
b8rez,batteries
b@,banned
b@u,back at you
bab,big ass boobs
babi,baby
baby,being annoyed by you
bac,bad ass chick
bae,before anyone else
baf,bring a friend
bag,big ass grin
baggkyko,"be a good girl, keep your knickers on"
bah,i don't really care
bai,bye
bak,back
bak@u,back at you
bakk,back
balz,balls
bamf,bad ass mother fuck
bamofo,bitch ass mother fuck
banana,penis
barb,buy abroad but rent in britain
bau,back at you
bb,bye bye
bb4h,bros before hoes
bb4n,bye-bye for now
bbamfic,big bad ass mother fucker in charge
bbb,bye bye babe
bbbg,bye bye be good
bbbj,bare back blow job
bbe,baby
bbf,best boy friend
bbfbbm,body by fisher
bbfn,bye bye for now
bbfs,best boyfriends
bbfu,be back for you
bbg,baby girl
bbi,baby
bbiab,be back in a bit
bbiaf,be back in a few
bbialb,be back in a little bit
bbiam,be back in a minute
bbias,be back in a second
bbiaw,be back in a while
bbifs,be back in a few seconds
bbilb,be back in a little bit
bbilfm,be back in like five minutes
bbim,be back in minute
bbk,"be back, ok?"
bbl,be back later
bbl8a,be back later
bblig,be back later...i guess
bbm,blackberry messenger
bbmfic,big bad mother fucker in charge
bbml,be back much later
bbn,be back never
bbol,be back online later
bbp,banned by parents
bbq,be back quick
bbr,burnt beyond repair
bbrs,be back really soon
bbs,be back soon
bbsd,be back soon darling
bbsl,be back sooner or later
bbsts,be back some time soon
bbt,be back tomorrow
bbtn,be back tonite
bbvl,be back very later
bbw,be back whenever
bbwb,best buddy with boobs
bbwe,be back whenever
bbwl,be back way later
bby,baby
bbz,babes
bc,because
bcbg,bon chic bon genre
bcbs,big company
bcc,blind carbon copy
bch,bitch
bck,back
bcnu,be seeing you
bcnul8r,be seeing you later
bcoz,because
bcurl8,because you're late.
bcuz,because
bd,birthday
bday,birthday
bdbi5m,busy daydreaming back in 5 minutes
bdc,big dumb company
bdfl,benevolent dictator for life
bdn,big damn number
bdoa,brain dead on arrival
bdsm,bondage
be4,before
beatch,bitch
bebe,baby
becuse,because
becuz,because
beech,bitch
beeoch,bitch
beezy,bitch
beg,big evil grin
beos,nudge
beotch,bitch
besos,kisses
bestie,best friend
betch,bitch
betcha,bet you
bettr,better
bewb,boob
bewbs,boobs
bewbz,boobs
bewt,boot
beyatch,bitch
beyotch,bitch
bezzie,best friend
bf,boyfriend
bf's,boyfriend's
bf+gf,boyfriend and girlfriend
bf4e,best friends for ever
bf4eva,best friends forever
bf4l,best friends for life
bfam,brother from another mother
bfd,big fuck deal
bfe,bum fuck egypt
bff,best friend forever
bffa,best friends for always
bffaa,best friends forever and always
bffae,best friends forever and ever
bffaw,best friends for a while
bffe,best friends forever
bffeae,best friend for ever and ever
bffene,best friends for ever and ever
bffl,best friends for life
bffn,best friends for now
bfftddup,best friends forever till death do us part
bfftte,best friends forever til the end
bfg,big fuck gun
bfh,bitch from hell
bfhd,big fat hairy deal
bfitww,best friend in the whole world
bfn,bye for now
bfr,big fucking rock
bfs,boyfriends
bft,big fuck tits
bg,background
bgf,best girlfriend
bh,bloody hell
bhag,big hairy audacious goal
bhg,big hearted guy
bhimbgo,bloody hell
bhof,bald headed old fart
bhwu,back home with you
bi,bye
bi5,back in five
biab,back in a bit
biach,bitch
biaf,back in a few
biatch,bitch
bibi,bye bye
bibifn,bye bye for now
bibo,beer in
bicbw,but i could be wrong
bich,bitch
bif,before i forget
bigd,big deal
bii,bye
bil,boss is listening
bilf,brother i'd like to fuck
bilu,baby i love you
bio,bring it on
bioiya,break it off in your ass
bion,believe it or not.
biotch,bitch
bioya,blow it out your ass
bioye,blow it out your ear
bioyiop,blow it out your io port
bioyn,blow it out your nose
bish,bitch
bisly,but i still love you
bitch,basically in the clear homey
bitd,back in the day
bitfob,bring it the fuck on bitch
bitz,neighborhood
biw,boss is watching
biwm,bisexual white male
biz,business
bizatch,bitch
bizi,busy
biznatch,bitch
biznitch,bitch
bizzle,bitch
bj,blowjob
bk,back
bka,better known as
bl,bad luck
blbblb,back like bull
bleme,blog meme
bleve,believe
blg,blog
blh,bored like hell
bling-bling,jewelry
blj,blowjob
bljb,blowjob
blk,black
blkbry,blackberry
blkm,black male
blnt,better luck next time
blog,web log
blogger,web logger
blu,blue
blzrd,blizzard
bm,bite me
bm&y,between you and me
bm4l,best mates for life
bma,best mates always
bmay,between me and you
bmf,be my friend
bmfe,best mates forever
bmfl,best mates for life
bmgwl,busting my gut with laughter
bmha,bite my hairy ass
bml,bless my life
bmoc,big man on campus
bmof,bite me old fart
bmota,byte me on the ass
bms,baby making sex
bmttveot,best mates till the very end of time
bmvp,be my valentine please
bmw,btch
bn,been
bndm3ovr,bend me over
bndn,been nowhere done nothing
bnf,big name fan
bng,being
bnib,brand new in box
bnol,be nice or leave
bnr,banner
bo,body odour
boaisy,bend over and ill show you
boati,bend over and take it
bob,battery operated boyfriend
bobfoc,"body of baywatch, face of crimewatch"
bobw,best of both worlds
boctaae,but of course there are always exceptions
bod,benefit of the doubt
boffum,both of them
bofh,bastard operator from hell
bogo,buy one get one
bogof,buy one get one free
bogsatt,bunch of guys sitting around the table
bohic,bend over here it comes
bohica,"bend over, here it comes again"
boi,boy
bol,barking out loud
bon,believe it or not
bonr,boner
book,cool
boomm,bored out of my mind
bord,bored
bos,boss over shoulder
botec,back of the envelope calculation
botl,bra on the loose
botoh,but on the other hand
botus,bot of the united states
bout,about
bovered,bothered
bowt,about
boxor,box
bplm,big person little mind
bpot,big pair of tits
br,best regards
brah,brother
brb,be right back
brbbrb,br right back bath room break
brbf,be right back fuck
brbg2p,"be right back, got to pee"
brbigtp,"be right back, i got to pee."
brbl,be right back later
brbmf,be right back mother fuck
brbn2gbr,"be right back, i need to go to the bathroom"
brbs,be right back soon
brbts,be right back taking shit
brd,bored
brfb,be right fuck back
brgds,best regards
brh,be right here
brics,brazil
brk,break
brl,belly roll laughs
bro,brother
bros,brothers
broseph,brother
brover,brother
brt,be right there
bruf,big requirements up front
bruh,brother
bruhh,brother
bruv,brother
bruva,brother
bruz,brothers
bs,bullshit
bsaaw,big smile and a wink
bsbd&ne,book smart
bseg,big shit eating grin
bsf,but seriously folks
bsmfh,bastard system manager from hell
bsod,blue screen of death
bsomn,blowing stuff out my nose
bstfu,bitch shut the fuck up
bstrd,bastard
bsx,bisexual
bsxc,be sexy
bt,bit torrent
bta,but then again
btb,by the by
btch,bitch
btcn,better than chuck norris
btd,bored to death
btdt,been there done that
btdtgts,been there
btdtgtts,"been there, done that, got the t-shirt"
btfl,beautiful
btfldy,beautiful day
btfo,back the fuck off
btfw,by the fuck way
bth,be totally honest
bthoom,beats the heck out of me
btias,be there in a second
btk,back to keyboard
btm,bottom
btn,better than nothing
btoiya,be there or its your ass
btr,better
bts,be there soon
btsoom,beats the shit out of me
btt,back to topic
bttt,"been there, tried that"
bttyl,be talking to you later
btw,by the way
btwbo,be there with bells on
btwilu,by the way i love you
btwitiailwu,by the way i think i am in love with you
btwn,between
bty,back to you
btyc,better than you can
btyd,better than you do
bubar,bushed up beyond all recognition
bubi,bye
buck,dollar
budzecks,butt sex
buff,big ugly fat fuck
buhbi,bye bye
buhbye,bye
bukket,bucket
bull****,bullshit
bulls**t,bullshit
bulls**t.,bullshit
bullsh**,bullshit
bullsh*t,bullshit
bullsh*ting,bullshit
bullshi*,bullshit
bullshit,bullshit
bump,bring up my post
bur,potty
burma,be undressed ready my angel
buszay,busy
but6,buttsex
butsecks,butt sex
butterface,every thing is hot but her face
buwu,breaking up with you
bw,best wishes
bw3,buffalo wild wings
bwdik,but what do i know
bwi,but what if
bwim,by which i mean
bwl,bursting with laughter
bwo,black
bwoc,big woman on campus
bwpwap,back when pluto was a planet
bwt,but when though
bwtm,but wait theres more
byak,blowing you a kiss
byam,between you and me
byeas,good-bye
byes,bye bye
byki,before you know it
bykt,but you knew that
byoa,bring your own advil
byob,bring your own beer
byoc,bring our own computer
byod,bring your own device
byoh,bring your own high
byow,bring your own weed
byself,by myself
bytabm,beat you to a bloody mess
bytch,bitch
bytm,better you than me
bytme,better you than me
bz,busy
bzns,buisness
bzy,busy
bzzy,busy
c,see
c 2 c,cam to cam (webcams)
c u l8r,see you later
c ya,see ya
c%d,could
c%l,cool
c&c,command and conquer
c&g,chuckle and grin
c&p,copy and paste
c'mon,come on
c*ocolat*s,chocolate
c-p,sleepy
c-t,city
c.y.a,cover your ass
c/b,comment back
c/p,cross post
c/s,change of subject
c/t,can't talk
c14n,canonicalization
c2,come to
c2c,care to chat?
c2tc,cut to the chase
c4ashg,care for a shag
c4n,ciao for now
c4y,cool for you
c@,cat
caac,cool as a cucumber
cab,taxi
cam,camera
cancer stick,cigarette
cas,crack a smile
catwot,complete and total waste of time
cawk,c**k
cayc,call at your convenience
cb,come back
cba,can't be arsed
cbb,can't be bothered
cbf,cant be fuck
cbfa,can't be fuck arsed
cbfed,can't be fuck
cbi,can't believe it
cbj,covered blow job
cbm,covered by medicare
cc,carbon copy
ccl,couldn't care less
ccna,cisco certified network associate
cd9,code 9 (other people nearby)
celly,cell phone
cex,sex
cexy,sexy
cf,cluster fuck
cfas,care for a secret?
cfid,check for identification
cfm,come fuck me
cfv,call for vote
cg,congratulations
cgad,couldn't give a damn
cgaf,couldn't give a fuck
cgf,cute guy friend
ch@,chat
cha,click here asshole
champs,champions
char,character
cheezburger,cheeseburger
chik,chick
chilax,chill and relax in one word
chillax,chill and relax
chillaxin,chilling and relaxing
chillin,relaxing
chk,check
chln,chilling
chohw,come hell or high water
chr,character
chronic,marijuana
chswm,come have sex with me
chswmrn,come have sex with me right now
chu,you
chut,potty
ciao,goodbye in italian
cico,coffee in
cicyhw,can i copy your home work
cid,consider it done
cig,cigarette
cigs,cigarettes
cihswu,can i have sex with you
cihyn,can i have your number
cil,check in later
cilf,child i'd like to fuck
cinba,clad in naught but air
cing,seeing
cio,check it out
cis,computer information science
ciwwaf,cute is what we aim for
cld,could
cless,clanless
clk,click
clm,cool like me
clt,cool like that
cluebie,clueless newbie
clusterf*ck,fuck
cm,call me
cma,cover my ass
cmao,crying my ass off
cmap,cover my ass partner
cmar,cry me a river
cmb,comment me back
cmbo,combo
cmcp,call my cell phone
cmeo,crying my eyes out
cmf,count my fingers
cmh,call my house
cmiiw,correct me if i'm wrong
cmitm,call me in the morning
cmiw,correct me if im wrong
cml,call me later
cml8r,call me later
cmliuw2,call me later if you want to
cmn,call me now
cmomc,call me on my cell
cmon,come on
cmplcdd,complicated
cmplte,complete
cmptr,computer
cms,content management system
cmt,comment
cmu,crack me up
cmw,cutting my wrists
cn,can
cnc,command and conquer
cnp,continued in next post
cnt,can't
cob,close of business
cobras,come on by right after school
cod,call of duty
cod4,call of duty 4
cod5,call of duty 5
codbo,call of duty: black ops
codbo2,call of duty: black ops ii
code 29,moderator is watching
code 8,parents are watching
code 9,parents are watching
code9,other people near by
cof,crying on the floor
cof$,church of scientology
cofs,church of scientology
coiwta,come on i wont tell anyone
col,crying out loud
comin',coming
comnt,comment
comp,computer
compy,computer
congrats,congratulations
contrib,contribution
contribs,contributions
convo,conversation
coo,cool
cood,could
copyvio,copyright violation
cos,because
cot,circle of trust
cotf,crying on the floor
cotm,check out this myspace
cowboy choker,cigarette
coz,because
cp,child porn
cpg,consumer packaged goods
cpl,cyber athlete professional league
cpm,cost per 1000 impressions
cptn,captain
cpu,computer
cpy,copy
cqrt,security
cr,can't remember
cr8,crate
craft,cant remember a fucking thing
crakalakin,happening
crap,cheap redundant assorted products
crat,cant remember a thing
craws,cant remember anything worth a shit
cray,crazy
crazn,crazy asian
crb,come right back
crbt,crying real big tears
crd,caucasian rhythm disorder
crdtchck,credit check
cre8,create
cre8or,creator
crm,customer relationship management
crp,crap
crs,can't remember shit
crtla,cant remember the threeletter acronym
crunk,combination of crazy and drunk
crzy,crazy
cs,counter-strike
cs&f,cute sexy funny
cs:s,counter-strike: source
csa,cool sweet awesome
csabr,continued success and best regards
csi,crime scene investigation
cskr,c**k sucker
csl,can't stop laughing
csn,chuckle
ct,can't talk
cta,call to action
ctc,call the cell
ctf,capture the flag
ctfd,calm the fuck down
ctfo,chill the fuck out
ctfu,cracking the fuck up
ctm,chuckle to myself
ctmq,chuckle to myself quietly
ctn,can't talk now
ctnbos,can't talk now boss over shoulder
ctncl,can't talk now call later
cto,check this out
ctpc,cant talk parent(s) coming
ctpos,can't talk parent over sholder
ctrl,control
ctrn,can't talk right now
cts,change the subject
ctt,change the topic
cu,goodbye
cu2,see you too
cu2nit,see you tonight
cu46,see you for sex
cuatsc,see you at the senior center
cuatu,see you around the universe
cubi,can you believe it
cud,could
cuic,see you in class
cul,see you later
cul83r,see you later
cul8er,see you later
cul8r,see you later
cul8tr,see you later
cula,see you later alligator
culd,could
cuns,see you in school
cunt,vagina
cuol,see you online
cuom,see you on monday
cupl,couple
cuple,couple
curn,calling you right now
cut3,cute
cuwta,catch up with the acronyms
cuwul,catch up with you later
cuz,because
cuzz,because
cvq,chucking very quietly
cw2cu,can`t wait to see you
cwd,comment when done
cwm,come with me
cwmaos,coffee with milk and one sugar
cwot,complete waste of time
cwtgypo,can't wait to get your panties off
cwyl,chat with ya later
cx,cancelled
cxo,chief insert title here officer
cy,calm yourself
cy2,see you too
cya,goodbye
cyal,see you later
cyal8r,see you later
cyas,see you soon
cyb,cyber
cybl,call you back later
cybr,cyber
cybseckz,cyber sex
cye,close your eyes
cyff,"change your font, fuck"
cyl,see you later
"cyl,a","see ya later, alligator"
cyl8,see you later
cyl8er,see you later
cylbd,catch ya later baby doll
cylor,check your local orhtodox rabbi
cym,check your mail
cyntott,see you next time on tech today
cyo,see you online
cyoh,create your own happening
cys,check your settings
cyt,see you tomorrow
cyu,see you
c|n>k,coffee through nose into keyboard
d,would
d&c,divide and conquer
d&df,drug & disease free
d&m,deep meaningful
d.t.f,down to fuck
d.w,don't worry
d/c,disconnected
d/l,download
d/m,doesn't matter
d/w,don't worry
d00d,dude
d1ck,dick
d2,diablo 2
d2d,daytoday
d2m,dead to me
d2t,drink to that
d8,date
da,the
da2,dragon age 2
dadt,don't ask. don't tell.
dafs,do a fuck search
dafuq,what the fuck
dah,dumb as hell
daii,day
damhik,don't ask me how i know
damhikijk,don't ask me how i know - i just know
damhikt,don't ask me how i know this
darfc,ducking and running for cover
dass,dumb ass
dat,that
dats,that's
dawg,friend
dayum,damn
dayumm,damn
db,database
db4l,drinking buddy for life
dba,doing business as
dbab,don't be a bitch
dbabai,dont be a bitch about it
dbafwtt,don't be a fool wrap the tool
dbag,deuchebag
dbbswf,dream boat body
dbd,dont be dumb
dbeyr,don't believe everything you read
dbg,don't be gay
dbh,don't be hating
dbi,don't beg it
dbm,don't bother me
dbmib,dont bother me im busy
dbz,dragonball z
dc,don't care
dc'd,disconnected
dctnry,dictionary
dcw,doing class work
dd,don't die
ddas,dont do anything stupid
ddf,drug and disease free
ddg,drop dead gorgeous
ddl,direct download
ddos,distributed denial of service
ddr,dance dance revolution
ddsos,different day
ddwi,dont dick with it
ded,dead
deets,details
deez,these
def,definitely
defs,definetly
degmt,don't even give me that
degt,dont even go there
dem,them
denial,dont even notice i am lying
der,there
dernoe,i don't know
derp,stupid
dese,these
detai,don't even think about it
deti,dont even think it
dewd,dude
dey,they
df,dumb fuck
dfc,don't fuck care
dfik,darn if i know
dfla,disenhanced fourletter acronym
dfo,dumb fuck operator
dftba,don't forget to be awesome
dftc,down for the count
dfu,don't fuck up
dfw,down for whatever
dfw/m,don't fuck with me
dfwly,dont forget who loves you
dfwm,don't fuck with me
dfwmt,don't fuck waste my time
dg,don't go
dga,don't go anywhere
dgac,don't give a crap
dgaf,don't give a fuck
dgara,don't give a rats ass
dgas,don't give a shit
dgms,don't get me started
dgmw,dont get me wrong
dgoai,don't go on about it
dgt,don't go there
dgtg,dont go there girlfriend
dgu,don't give up
dgyf,damn girl youre fine
dgypiab,don't get your panties in a bunch
dh,dickhead
dhac,don't have a clue
dhcp,dynamic host configuration protocol
dhly,does he like you
dhv,demonstration of higher value
dhyb,dont hold your breath
diacf,die in a car fire
diaf,die in a fire
diah,die in a hole
dic,do i care
dick,penis
diez,dies
